instance_prefix,alfa,cv,min
MK,-0.3,,15281.8
MK,-0.2,,18947.066666666666
MK,-0.1,,23790.2
mf,-0.3,,59188.9
mf,-0.2,,62998.3
mf,-0.1,,67321.8
sf,-0.3,,21815.8
sf,-0.2,,23139.7
sf,-0.1,,24753.3
