instance_prefix,alfa,cv,min
MK,-0.3,0.01804046730421347,14796.0
MK,-0.2,0.01655189111058808,18330.333333333332
MK,-0.1,0.018177274368179383,22974.8
mf,-0.3,0.01575168794806666,57387.6
mf,-0.2,0.015213183668531721,61755.6
mf,-0.1,0.008309675425905445,66990.6
sf,-0.3,0.0,21653.9
sf,-0.2,0.0,22872.1
sf,-0.1,0.0,24215.4
