instance_prefix,alfa,cv,min
MK,-0.3,0.004936592352702311,14880.4
MK,-0.2,0.006761179264727992,18565.0
MK,-0.1,0.006928662688551514,23401.4
mf,-0.3,0.0035032393673775724,58172.2
mf,-0.2,0.004259152920251508,62328.7
mf,-0.1,0.005587935251055861,67426.9
sf,-0.3,0.0,21653.9
sf,-0.2,0.0,22872.1
sf,-0.1,0.0,24215.4
