instance_prefix,alfa,cv,min
MK,-0.3,0.0034531427756881636,14519.866666666667
MK,-0.2,0.004229766581899848,18070.733333333334
MK,-0.1,0.004923366035608309,22687.4
mf,-0.3,0.010524065491369,57362.8
mf,-0.2,0.012019732591662792,61595.1
mf,-0.1,0.009414916991296606,66672.9
sf,-0.3,0.0,21653.9
sf,-0.2,0.0,22872.1
sf,-0.1,0.0,24215.4
