instance_prefix,alfa,cv,min
DA,-0.3,0.008355601316820383,36579.13333333333
DA,-0.2,0.007931232357623717,42865.53333333333
DA,-0.1,0.008307852738524168,50442.46666666667
YF,-0.3,0.007869777316415852,47814.05
YF,-0.2,0.006590524930169786,54473.25
YF,-0.1,0.005159503307366359,62186.8
