instance_prefix,alfa,cv,min
DA,-0.3,,19778.2
DA,-0.2,,21135.533333333333
DA,-0.1,,22699.733333333334
YF,-0.3,,31707.766666666666
YF,-0.2,,33933.96666666667
YF,-0.1,,36168.03333333333
