instance_prefix,alfa,cv,min
DA,-0.3,0.0,19210.366666666665
DA,-0.2,0.0,20600.833333333332
DA,-0.1,0.0,22104.866666666665
YF,-0.3,0.0,30645.133333333335
YF,-0.2,0.0,32807.8
YF,-0.1,0.0,35169.86666666667
