TS,-0.1,YFJS_4_4_7_5_0,35243,0,1708997123
TS,-0.1,YFJS_4_4_7_5_0,35046,0,1708997123
TS,-0.1,YFJS_4_4_7_5_1,28688,0,1708997123
TS,-0.1,YFJS_4_4_7_5_1,26610,0,1708997123
TS,-0.1,YFJS_4_4_7_5_1,26299,0,1708997123
TS,-0.1,YFJS_4_4_7_5_1,25982,0,1708997123
TS,-0.1,YFJS_4_4_7_5_2,62704,0,1708997123
TS,-0.1,YFJS_4_4_7_5_2,62240,0,1708997123
TS,-0.1,YFJS_4_4_7_5_2,61923,0,1708997123
TS,-0.1,YFJS_4_4_7_5_2,61683,0,1708997123
TS,-0.1,YFJS_4_4_7_5_2,54284,0,1708997123
TS,-0.1,YFJS_4_4_7_5_2,53381,0,1708997123
TS,-0.1,YFJS_4_4_7_5_2,52098,0,1708997123
TS,-0.1,YFJS_4_4_7_5_1,25654,0.002,1708997123
TS,-0.1,YFJS_4_4_7_5_3,25394,0,1708997123
TS,-0.1,YFJS_4_4_7_5_1,24712,0.003,1708997123
TS,-0.1,YFJS_4_4_7_5_1,24396,0.003,1708997123
TS,-0.1,YFJS_4_4_7_5_1,24359,0.003,1708997123
TS,-0.1,YFJS_4_4_7_5_4,27650,0,1708997123
TS,-0.1,YFJS_4_4_7_5_4,27389,0,1708997123
TS,-0.1,YFJS_4_4_7_5_4,26371,0,1708997123
TS,-0.1,YFJS_4_4_7_5_4,25750,0,1708997123
TS,-0.1,YFJS_4_4_7_5_5,30952,0,1708997123
TS,-0.1,YFJS_4_4_7_5_6,51782,0,1708997123
TS,-0.1,YFJS_4_4_7_5_6,51597,0,1708997123
TS,-0.1,YFJS_4_4_7_5_6,48700,0,1708997123
TS,-0.1,YFJS_4_4_7_5_6,47339,0,1708997123
TS,-0.1,YFJS_4_4_7_5_6,46597,0,1708997123
TS,-0.1,YFJS_4_4_7_5_6,46089,0,1708997123
TS,-0.1,YFJS_4_4_7_5_5,30508,0.001,1708997123
